~v0,-v0-1
v0*v1-7*(v0&~v1)-11*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*v0-11*(v0^v1)+3*(v0|~v1)-3*~(v0|v1)-4*(v0&v1)
v0*v1-1*~v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-5*v1+3*~(v0&~v1)-4*~(v0|v1)+1*~(v0|~v1)+2*(v0&v1)
v0*v1-1*~(v0|~v1)-5*~v1,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&~v0)-3*~v0-4*~(v0|v1)-7*(v0&~v1)-2*(v0&v1)
v0*v1+5*~(v0&~v1)-11*(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*~v1+12*~(v0|v1)-6*~(v0|~v1)-4*(v0&~v1)+5*(v0&v1)
v0*v1+3*(v0|v1)-3*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&~v1)-3*~(v0^v1)+1*~(v0|v1)+1*~(v0|~v1)+4*(v0&v1)
v0*v1-1*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v1)+7*v0+1*~(v0|v1)-8*(v0&~v1)-7*(v0&v1)
v0*v1-5*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*~v1+1*v0+5*~(v0^v1)+1*~(v0|v1)-6*(v0&v1)
v0*v1-1*(v0|~v1)+8*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*~(v0&~v0)+2*~v0-7*~(v0|~v1)-6*(v0&~v1)-6*(v0&v1)
v0*v1-2*~(v0|v1)-13*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*v1-2*~(v0&v1)-11*(v0^v1)+15*~(v0|~v1)+2*(v0&v1)
v0*v1-10*~(v0|~v1)-1*(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-11*v1-2*~(v0^v1)+2*~(v0|v1)-1*(v0&~v1)+13*(v0&v1)
v0*v1-7*~v0+5*~(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-5*(v0^v1)-2*~(v0|v1)-2*~(v0|~v1)+5*(v0&~v1)+5*(v0&v1)
v0*v1-2*v0+9*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*~(v0&v1)+7*~(v0^v1)-12*~(v0|v1)-5*~(v0|~v1)-7*(v0&~v1)
v0*v1-1*(v0|v1)+5*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*~(v0&v1)+11*(v0|~v1)-15*~(v0|v1)-16*(v0&~v1)-12*(v0&v1)
v0*v1-8*~(v0|v1)+5*~v1,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*v0-2*~(v0^v1)-1*(v0|~v1)+7*(v0&~v1)+4*(v0&v1)
v0*v1+2*(v0^v1)+1*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&~v0)-1*~(v0&v1)+1*~(v0|~v1)+1*(v0&~v1)-2*(v0&v1)
v0*v1-10*~(v0|~v1)-5*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-11*~(v0&~v0)+1*~(v0&v1)+5*~(v0|v1)+5*(v0&~v1)+6*(v0&v1)
v0*v1+13*~(v0|~v1)+3*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+3*~(v0&~v0)-1*v1+11*(v0^v1)-14*(v0&~v1)-2*(v0&v1)
v0*v1+5*~(v0|~v1)+7*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*v1+11*~(v0&~v0)-4*~(v0|v1)-4*(v0&~v1)-12*(v0&v1)
v0*v1+7*v0+7*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*~(v0&v1)-4*~(v0|v1)+3*~(v0|~v1)+10*(v0&~v1)+14*(v0&v1)
v0*v1+1*(v0^v1)-1*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-5*~v0+1*~(v0^v1)+4*~(v0|v1)+6*~(v0|~v1)-1*(v0&v1)
v0*v1-2*~(v0&v1)-1*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0^v1)-4*~(v0|v1)-3*~(v0|~v1)-3*(v0&~v1)-3*(v0&v1)
v0*v1-1*~(v0|~v1)+2*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*v0+1*~(v0&~v1)+1*~(v0|v1)+1*(v0&~v1)-2*(v0&v1)
v0*v1-2*(v0|~v1)+3*~(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0&~v0)+3*~(v0&v1)-3*~(v0|v1)-1*~(v0|~v1)-6*(v0&~v1)
v0*v1+1*(v0&v1)-1*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0^v1)+2*(v0^v1)-2*~(v0|v1)-3*~(v0|~v1)-3*(v0&~v1)
v0*v1-13*~(v0|~v1)-11*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*(v0|v1)-11*~(v0&v1)+5*v0+8*(v0&~v1)-3*(v0&v1)
v0*v1-1*v1+6*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*~v0-1*~(v0&v1)-7*~(v0|~v1)+1*(v0&~v1)-1*(v0&v1)
v0*v1-1*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~(v0&v1)+4*(v0^v1)+2*~v1-1*~(v0|~v1)-3*(v0&~v1)
v0*v1-11*~(v0^v1)+9*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*(v0|v1)-2*~v1-7*~(v0|~v1)-5*(v0&~v1)-18*(v0&v1)
v0*v1-5*~(v0^v1)+1*~v1,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*(v0|v1)-4*~(v0|v1)-2*~(v0|~v1)-1*(v0&~v1)-7*(v0&v1)
v0*v1+5*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-5*~(v0^v1)-7*v0+5*~(v0&v1)+2*(v0&~v1)+12*(v0&v1)
v0*v1+5*v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*(v0|v1)-11*(v0^v1)+7*~(v0|~v1)+12*(v0&~v1)+1*(v0&v1)
v0*v1+4*~(v0|v1)+2*v1,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0&v1)+3*~(v0&~v1)-2*~(v0|~v1)-1*(v0&~v1)-1*(v0&v1)
v0*v1-1*(v0^v1)-2*~(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*v1-2*~(v0|v1)-5*~(v0|~v1)-1*(v0&~v1)-6*(v0&v1)
v0*v1+5*~(v0&~v0)+3*~(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~v1+11*~(v0|v1)+5*~(v0|~v1)+8*(v0&~v1)+8*(v0&v1)
v0*v1+3*v0-9*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*(v0^v1)+4*~v0-4*~(v0|v1)+2*~(v0|~v1)+3*(v0&v1)
v0*v1-6*~(v0|~v1)+4*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*~(v0^v1)-5*(v0^v1)-1*~(v0&v1)-3*~(v0|v1)+6*(v0&~v1)
v0*v1-4*(v0&v1)+3*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*~(v0&v1)-1*v0+10*~(v0|v1)+10*~(v0|~v1)+11*(v0&~v1)
v0*v1+10*(v0&~v1)+8*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+11*~(v0&v1)+2*(v0^v1)-3*(v0|~v1)-13*~(v0|~v1)+3*(v0&v1)
v0*v1-3*~v1-1*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*v0-6*~v0+3*~(v0|v1)+6*~(v0|~v1)-2*(v0&~v1)
v0*v1+2*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*(v0|v1)+1*v0+2*(v0^v1)-3*~(v0|~v1)-4*(v0&~v1)
v0*v1+5*~(v0|~v1)+3*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*~(v0&v1)+2*(v0^v1)-2*~(v0&~v1)-7*(v0&~v1)+2*(v0&v1)
v0*v1-7*(v0&~v1)-7*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&v1)-7*~(v0&~v0)+1*~v1+7*~(v0|v1)+8*~(v0|~v1)
v0*v1+5*~(v0|~v1)+3*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*v1+1*~v1+2*~(v0|v1)+2*(v0&~v1)-2*(v0&v1)
v0*v1-1*v1-2*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~v0-3*~(v0|v1)-4*~(v0|~v1)-2*(v0&~v1)-1*(v0&v1)
v0*v1-8*~(v0|v1)-7*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*~(v0&~v0)-2*~v1+1*(v0^v1)+5*~(v0|~v1)+6*(v0&v1)
v0*v1-2*~(v0|v1)+4*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*~(v0&~v1)+1*(v0|~v1)+3*~(v0&v1)+3*~(v0|~v1)+5*(v0&v1)
v0*v1-1*(v0&v1)+2*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&v1)-2*v0+1*(v0|~v1)-3*~(v0|v1)-1*(v0&~v1)
v0*v1-2*v1+7*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~(v0^v1)+5*(v0|v1)+3*~(v0|v1)-5*(v0&~v1)-4*(v0&v1)
v0*v1-1*~(v0&~v1)-1*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*(v0|~v1)+1*v0+1*~(v0|v1)-2*~(v0|~v1)+1*(v0&~v1)
v0*v1-11*v1+7*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+3*(v0|v1)+4*(v0|~v1)-4*~(v0|v1)-14*~(v0|~v1)-18*(v0&v1)
v0*v1+3*(v0&~v1)+2*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*v0+1*(v0^v1)+1*~(v0&v1)-1*~(v0|v1)-1*(v0&v1)
v0*v1+4*(v0&~v1)+7*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+11*(v0|v1)-3*~v0+10*~(v0|v1)-1*~(v0|~v1)-4*(v0&v1)
v0*v1-12*~(v0|v1)+6*~(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*v1-6*~(v0&v1)+14*~(v0|~v1)+6*(v0&~v1)+8*(v0&v1)
v0*v1-1*(v0|v1)+3*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+3*~v1+2*(v0|~v1)-5*~(v0|v1)-1*~(v0|~v1)-6*(v0&~v1)
v0*v1+1*(v0&v1)+1*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0&~v0)+1*~v1-1*(v0^v1)-1*~(v0|v1)+1*~(v0|~v1)
v0*v1+1*~(v0&~v0)-1*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*~(v0&v1)-7*~v0+15*~(v0|v1)+15*~(v0|~v1)+8*(v0&~v1)
v0*v1+5*(v0&~v1)-2*~(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*v1+5*~(v0&~v0)-7*~(v0|v1)-12*~(v0|~v1)-14*(v0&v1)
v0*v1-1*v0-6*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~v1-6*~(v0&~v1)+4*~(v0|v1)-3*(v0&~v1)+5*(v0&v1)
v0*v1+1*(v0&v1)+2*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v0)+2*(v0|v1)+3*~(v0|v1)+1*~(v0|~v1)+1*(v0&~v1)
v0*v1-2*(v0&~v1)-2*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*(v0|v1)-1*(v0^v1)+1*~v1-1*~(v0|v1)+3*~(v0|~v1)
v0*v1-3*(v0^v1)+3*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*~v1-3*~(v0^v1)+5*~(v0|v1)-1*(v0&~v1)+3*(v0&v1)
v0*v1-5*v0+5*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~v0-3*~(v0&v1)+1*~(v0|v1)+1*~(v0|~v1)-2*(v0&~v1)
v0*v1+2*~(v0|v1)-4*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*v1+4*~v0-2*~(v0&~v0)+2*(v0&~v1)+8*(v0&v1)
v0*v1+1*~v1+4*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*(v0|v1)+2*~(v0^v1)-1*~(v0|v1)-3*(v0&~v1)-6*(v0&v1)
v0*v1-2*(v0&~v1)-5*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*(v0^v1)-5*~(v0&~v0)+2*v0+4*~(v0|~v1)+3*(v0&v1)
v0*v1-11*~(v0|~v1)+11*~(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*v0-6*~v1+17*~(v0|v1)-1*(v0&~v1)+4*(v0&v1)
v0*v1+23*~(v0|~v1)+12*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*(v0^v1)+11*~(v0&~v1)+5*~(v0&v1)-16*~(v0|v1)-11*(v0&v1)
v0*v1+2*v0+4*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*~(v0&~v0)+2*(v0^v1)-4*~(v0|v1)-6*~(v0|~v1)-2*(v0&v1)
v0*v1+3*~(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*~v1-2*(v0|~v1)+11*~(v0|v1)+8*(v0&~v1)+5*(v0&v1)
v0*v1-12*(v0&v1)-12*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v0)-5*(v0^v1)-11*(v0|~v1)+6*~(v0|~v1)+17*(v0&~v1)
v0*v1+6*~(v0&~v0)-6*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*(v0^v1)+1*~v1+5*~(v0|v1)+7*~(v0|~v1)+6*(v0&~v1)
v0*v1+2*(v0|v1)-2*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*(v0^v1)-1*~(v0&v1)+1*~(v0|v1)+2*~(v0|~v1)+2*(v0&~v1)
v0*v1-14*(v0&~v1)-3*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*(v0|~v1)-11*~v1-2*~v0+16*~(v0|v1)+2*~(v0|~v1)
v0*v1-2*~(v0|~v1)-1*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*(v0|~v1)+3*~v1-2*~(v0&v1)+1*(v0&~v1)+2*(v0&v1)
v0*v1-2*~v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*v1-2*~(v0&v1)-2*~(v0|~v1)+2*(v0&~v1)-2*(v0&v1)
v0*v1-11*~(v0^v1)+7*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*v1+3*(v0|v1)-11*~(v0|v1)-3*(v0&~v1)-18*(v0&v1)
v0*v1+4*~(v0|~v1)+1*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0^v1)+5*~(v0&~v1)-5*~(v0|v1)+1*(v0&~v1)-5*(v0&v1)
v0*v1-7*(v0&v1)+2*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*(v0|v1)+7*~v1-5*~(v0|v1)+9*~(v0|~v1)+2*(v0&~v1)
v0*v1-1*~(v0|~v1)+2*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~v1+1*v1+3*~(v0|v1)+3*(v0&~v1)+1*(v0&v1)
v0*v1-6*(v0&~v1)+3*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~v1-6*~(v0&~v1)+12*~(v0|v1)+6*~(v0|~v1)+9*(v0&v1)
v0*v1+6*~(v0|v1)-2*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*~(v0^v1)+1*(v0|~v1)-2*~(v0|~v1)-3*(v0&~v1)-8*(v0&v1)
v0*v1-2*~(v0|v1)-3*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+5*(v0^v1)-2*~(v0&~v1)-1*v0-3*~(v0|~v1)-4*(v0&~v1)
v0*v1-2*~(v0|~v1)-1*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~v0-1*~(v0&v1)+2*~(v0&~v1)+2*~(v0|v1)-2*(v0&v1)
v0*v1-6*(v0&~v1)+6*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~v0+1*~(v0^v1)+4*~(v0|v1)+5*~(v0|~v1)+5*(v0&v1)
v0*v1-3*(v0|~v1)+14*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+11*~v0-5*v1-6*~(v0|~v1)-3*(v0&~v1)+2*(v0&v1)
v0*v1+11*~(v0&~v0)-8*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*v1-1*v0+11*~(v0|v1)+7*~(v0|~v1)+12*(v0&~v1)
v0*v1+7*~(v0|~v1)+8*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*~(v0&~v0)+1*~(v0&v1)-1*~(v0&~v1)-7*~(v0|v1)-6*(v0&v1)
v0*v1-1*~(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*(v0^v1)+2*~v0-3*~(v0|v1)+3*(v0&~v1)-1*(v0&v1)
v0*v1+2*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*(v0^v1)-2*~v1+2*v1+2*~(v0|v1)+4*(v0&~v1)
v0*v1-2*(v0|~v1)+3*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*(v0|v1)+1*~(v0&v1)-3*~(v0|v1)-2*~(v0|~v1)-4*(v0&~v1)
v0*v1+2*(v0|v1)-3*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~v1-1*~(v0^v1)+2*~(v0|v1)+2*~(v0|~v1)+3*(v0&~v1)
v0*v1+2*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-3*~v1+5*(v0|~v1)-1*~(v0^v1)-1*~(v0|v1)-4*(v0&v1)
v0*v1-2*v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0^v1)+1*(v0^v1)-1*~(v0&~v1)-3*(v0&~v1)-2*(v0&v1)
v0*v1-1*~(v0&v1)+12*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+11*~v0+5*(v0|v1)-17*~(v0|~v1)-6*(v0&~v1)-5*(v0&v1)
v0*v1+6*~v0-11*v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*(v0|~v1)+2*~(v0&~v1)+4*~(v0|~v1)-15*(v0&~v1)-17*(v0&v1)
v0*v1-7*~(v0|v1)+5*v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*v1-7*~(v0^v1)-7*~(v0|~v1)+5*(v0&~v1)+5*(v0&v1)
v0*v1+11*~(v0^v1)+2*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v1)+14*~(v0|v1)+1*~(v0|~v1)+2*(v0&~v1)+14*(v0&v1)
v0*v1+2*~(v0|v1)+5*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*v1+2*(v0|~v1)+3*~(v0|~v1)+3*(v0&~v1)+1*(v0&v1)
v0*v1+7*v1+4*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+4*v0-11*~(v0^v1)+11*~(v0|v1)+7*~(v0|~v1)+14*(v0&v1)
v0*v1+2*v1-1*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*v0-1*~(v0&v1)+2*~(v0|~v1)-2*(v0&~v1)-1*(v0&v1)
v0*v1-5*~(v0|~v1)-4*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*~v0-2*~(v0&~v0)+5*~(v0|v1)-2*(v0&~v1)+2*(v0&v1)
v0*v1+1*~(v0&v1)-7*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*~(v0^v1)+1*(v0^v1)-4*~(v0|v1)-7*(v0&~v1)-5*(v0&v1)
v0*v1-3*~(v0&~v1)+2*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~v0+4*(v0^v1)-6*~(v0|~v1)-4*(v0&~v1)-3*(v0&v1)
v0*v1-7*~(v0^v1)-5*v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-6*~v0-1*~(v0|v1)+6*~(v0|~v1)-5*(v0&~v1)-12*(v0&v1)
v0*v1-8*(v0&~v1)+1*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*~v1-7*~(v0&v1)+1*~(v0&~v0)+8*~(v0|v1)+6*~(v0|~v1)
v0*v1-1*(v0|v1)+10*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*~v1+3*~(v0&~v1)-4*~(v0|~v1)-8*(v0&~v1)-4*(v0&v1)
v0*v1-14*~(v0|~v1)+11*~(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v1)-2*(v0^v1)+12*~(v0|v1)+13*(v0&~v1)+1*(v0&v1)
v0*v1+1*~(v0&~v0)-14*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*(v0|v1)-11*(v0|~v1)+12*~(v0|v1)+3*~(v0|~v1)+14*(v0&v1)
v0*v1-6*~(v0|~v1)+2*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*(v0|~v1)-7*~v0+1*~(v0&~v0)+5*~(v0|v1)-2*(v0&~v1)
v0*v1-7*(v0^v1)+3*~(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-2*~v1+5*~(v0|v1)-4*~(v0|~v1)-5*(v0&~v1)+3*(v0&v1)
v0*v1-3*~(v0&~v0)+2*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&v1)-1*v0-1*(v0^v1)-1*~(v0|~v1)-2*(v0&v1)
v0*v1-2*~v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*(v0^v1)+4*~(v0&v1)-6*~(v0|v1)-8*~(v0|~v1)-6*(v0&~v1)
v0*v1+3*~(v0&~v1)-1*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*v0-1*~v0+4*~(v0|v1)+4*~(v0|~v1)+4*(v0&v1)
v0*v1-10*~(v0|v1)+11*~v0,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~v1+5*(v0|v1)+6*~(v0|~v1)-6*(v0&~v1)-5*(v0&v1)
v0*v1-1*~(v0|~v1)+5*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v0)-1*~(v0&~v1)+7*~(v0&v1)-6*(v0|v1)+8*(v0&v1)
v0*v1-2*(v0&v1)+1*(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*(v0|~v1)-2*~v0+3*~(v0|v1)+3*~(v0|~v1)+2*(v0&~v1)
v0*v1+5*~(v0|~v1)-11*(v0&v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-11*~(v0^v1)+3*~(v0&v1)+2*~v0+6*~(v0|v1)-3*(v0&~v1)
v0*v1-1*(v0&v1)-6*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0&~v0)+4*(v0^v1)-5*~v0+2*~(v0|~v1)-3*(v0&~v1)
v0*v1+2*(v0^v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&v1)+7*v1-2*~(v0|v1)-7*~(v0|~v1)-7*(v0&v1)
v0*v1-4*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+3*~v1-2*~(v0&v1)-5*(v0^v1)-1*~(v0|v1)+7*~(v0|~v1)
v0*v1+2*(v0&~v1)+6*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-1*~(v0^v1)+2*(v0^v1)+4*~(v0&~v1)-3*~(v0|v1)-3*(v0&v1)
v0*v1+2*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*~v0+5*v1+2*(v0|v1)+7*~(v0|v1)-7*(v0&v1)
v0*v1+6*(v0&~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*~(v0&~v0)-1*~(v0&v1)-7*~(v0&~v1)+1*~(v0|v1)+1*~(v0|~v1)
v0*v1-3*v0+1*~(v0|v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+1*~(v0&v1)+1*(v0^v1)-2*~(v0|~v1)-5*(v0&~v1)-3*(v0&v1)
v0*v1+3*~(v0|~v1)+1*~(v0&~v0),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+2*~(v0&~v1)+2*v1+1*~v1-2*~(v0|v1)-3*(v0&v1)
v0*v1+11*v1-11*(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-7*(v0^v1)+5*~v1-16*~(v0|v1)+18*~(v0|~v1)-9*(v0&~v1)
v0*v1-7*(v0&v1)-1*~(v0|~v1),(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)-11*~(v0^v1)+4*(v0|v1)-5*~(v0&v1)+16*~(v0|v1)+1*(v0&~v1)
v0*v1+7*~(v0|~v1)-2*~v1,(v0&v1)*(v0|v1)+(v0&~v1)*(~v0&v1)+7*~(v0&v1)-11*v0-9*~(v0|v1)+2*(v0&~v1)+11*(v0&v1)
